Beam Size, Lenpen, WER
1, 0.1, 12.768532526475038
1, 0.2, 12.768532526475038
1, 0.3, 12.768532526475038
1, 0.4, 12.768532526475038
1, 0.5, 12.768532526475038
1, 0.6, 12.768532526475038
1, 0.7, 12.768532526475038
1, 0.8, 12.768532526475038
1, 0.9, 12.768532526475038
1, 1.0, 12.768532526475038
1, 1.1, 12.768532526475038
1, 1.2, 12.768532526475038
1, 1.3, 12.768532526475038
1, 1.4, 12.768532526475038
1, 1.5, 12.768532526475038
1, 1.6, 12.768532526475038
1, 1.7, 12.768532526475038
1, 1.8, 12.768532526475038
1, 1.9, 12.768532526475038
1, 2.0, 12.768532526475038
1, 2.1, 12.768532526475038
1, 2.2, 12.768532526475038
1, 2.3, 12.768532526475038
1, 2.4, 12.768532526475038
1, 2.5, 12.768532526475038
1, 2.6, 12.768532526475038
1, 2.7, 12.768532526475038
1, 2.8, 12.768532526475038
1, 2.9, 12.768532526475038
1, 3.0, 12.768532526475038
1, 3.1, 12.768532526475038
1, 3.2, 12.768532526475038
1, 3.3, 12.768532526475038
1, 3.4, 12.768532526475038
1, 3.5, 12.768532526475038
2, 0.1, 12.304589006555723
2, 0.2, 12.314674735249621
2, 0.3, 12.294503277861825
2, 0.4, 12.233988905698437
2, 0.5, 12.244074634392335
2, 0.6, 12.21381744831064
2, 0.7, 12.193645990922844
2, 0.8, 12.173474533535048
2, 0.9, 12.193645990922844
2, 1.0, 12.203731719616743
2, 1.1, 12.193645990922844
2, 1.2, 12.193645990922844
2, 1.3, 12.21381744831064
2, 1.4, 12.223903177004539
2, 1.5, 12.21381744831064
2, 1.6, 12.183560262228946
2, 1.7, 12.173474533535048
2, 1.8, 12.173474533535048
2, 1.9, 12.183560262228946
2, 2.0, 12.183560262228946
2, 2.1, 12.173474533535048
2, 2.2, 12.223903177004539
2, 2.3, 12.223903177004539
2, 2.4, 12.223903177004539
2, 2.5, 12.254160363086234
2, 2.6, 12.274331820474028
2, 2.7, 12.284417549167927
2, 2.8, 12.284417549167927
2, 2.9, 12.32476046394352
2, 3.0, 12.32476046394352
2, 3.1, 12.344931921331316
2, 3.2, 12.314674735249621
2, 3.3, 12.294503277861825
2, 3.4, 12.32476046394352
2, 3.5, 12.334846192637418
3, 0.1, 12.112960161371658
3, 0.2, 12.10287443267776
3, 0.3, 12.133131618759455
3, 0.4, 12.133131618759455
3, 0.5, 12.072617246596067
3, 0.6, 12.042360060514373
3, 0.7, 11.981845688350983
3, 0.8, 11.961674230963187
3, 0.9, 11.860816944024206
3, 1.0, 11.8910741301059
3, 1.1, 11.911245587493696
3, 1.2, 11.931417044881492
3, 1.3, 11.951588502269288
3, 1.4, 11.991931417044881
3, 1.5, 11.991931417044881
3, 1.6, 11.991931417044881
3, 1.7, 11.961674230963187
3, 1.8, 11.971759959657085
3, 1.9, 11.951588502269288
3, 2.0, 11.981845688350983
3, 2.1, 12.012102874432678
3, 2.2, 12.05244578920827
3, 2.3, 12.05244578920827
3, 2.4, 12.042360060514373
3, 2.5, 12.042360060514373
3, 2.6, 12.062531517902169
3, 2.7, 12.062531517902169
3, 2.8, 12.072617246596067
3, 2.9, 12.082702975289966
3, 3.0, 12.082702975289966
3, 3.1, 12.143217347453353
3, 3.2, 12.153303076147251
3, 3.3, 12.153303076147251
3, 3.4, 12.183560262228946
3, 3.5, 12.193645990922844
4, 0.1, 11.991931417044881
4, 0.2, 11.981845688350983
4, 0.3, 11.991931417044881
4, 0.4, 12.05244578920827
4, 0.5, 12.032274331820474
4, 0.6, 11.981845688350983
4, 0.7, 11.8910741301059
4, 0.8, 11.921331316187594
4, 0.9, 11.830559757942511
4, 1.0, 11.850731215330308
4, 1.1, 11.880988401412003
4, 1.2, 11.8910741301059
4, 1.3, 11.911245587493696
4, 1.4, 11.931417044881492
4, 1.5, 11.931417044881492
4, 1.6, 11.951588502269288
4, 1.7, 11.931417044881492
4, 1.8, 11.931417044881492
4, 1.9, 11.911245587493696
4, 2.0, 11.911245587493696
4, 2.1, 11.951588502269288
4, 2.2, 11.971759959657085
4, 2.3, 11.971759959657085
4, 2.4, 11.961674230963187
4, 2.5, 11.971759959657085
4, 2.6, 11.991931417044881
4, 2.7, 11.991931417044881
4, 2.8, 12.00201714573878
4, 2.9, 11.991931417044881
4, 3.0, 11.981845688350983
4, 3.1, 12.042360060514373
4, 3.2, 12.022188603126576
4, 3.3, 12.022188603126576
4, 3.4, 12.042360060514373
4, 3.5, 12.05244578920827
5, 0.1, 11.8910741301059
5, 0.2, 11.880988401412003
5, 0.3, 11.8910741301059
5, 0.4, 11.931417044881492
5, 0.5, 11.911245587493696
5, 0.6, 11.870902672718104
5, 0.7, 11.830559757942511
5, 0.8, 11.860816944024206
5, 0.9, 11.759959657085224
5, 1.0, 11.790216843166919
5, 1.1, 11.800302571860817
5, 1.2, 11.810388300554715
5, 1.3, 11.84064548663641
5, 1.4, 11.84064548663641
5, 1.5, 11.870902672718104
5, 1.6, 11.860816944024206
5, 1.7, 12.10287443267776
5, 1.8, 12.112960161371658
5, 1.9, 12.153303076147251
5, 2.0, 12.143217347453353
5, 2.1, 12.143217347453353
5, 2.2, 12.153303076147251
5, 2.3, 12.173474533535048
5, 2.4, 12.16338880484115
5, 2.5, 12.173474533535048
5, 2.6, 12.173474533535048
5, 2.7, 12.173474533535048
5, 2.8, 12.21381744831064
5, 2.9, 12.233988905698437
5, 3.0, 12.274331820474028
5, 3.1, 12.274331820474028
5, 3.2, 12.223903177004539
5, 3.3, 12.233988905698437
5, 3.4, 12.244074634392335
5, 3.5, 12.254160363086234
6, 0.1, 11.810388300554715
6, 0.2, 11.770045385779122
6, 0.3, 11.739788199697427
6, 0.4, 11.739788199697427
6, 0.5, 11.790216843166919
6, 0.6, 11.749873928391326
6, 0.7, 11.820474029248613
6, 0.8, 11.820474029248613
