Beam Size, Lenpen, WER
1, 0.1, 93.94856278366112
1, 0.2, 93.94856278366112
1, 0.3, 93.94856278366112
1, 0.4, 93.94856278366112
1, 0.5, 93.94856278366112
1, 0.6, 93.94856278366112
1, 0.7, 93.94856278366112
1, 0.8, 93.94856278366112
1, 0.9, 93.94856278366112
1, 1.0, 93.94856278366112
1, 1.1, 93.94856278366112
1, 1.2, 93.94856278366112
1, 1.3, 93.94856278366112
1, 1.4, 93.94856278366112
1, 1.5, 93.94856278366112
1, 1.6, 93.94856278366112
1, 1.7, 93.94856278366112
1, 1.8, 93.94856278366112
1, 1.9, 93.94856278366112
1, 2.0, 93.94856278366112
1, 2.1, 93.94856278366112
1, 2.2, 93.94856278366112
1, 2.3, 93.94856278366112
1, 2.4, 93.94856278366112
1, 2.5, 93.94856278366112
1, 2.6, 93.94856278366112
1, 2.7, 93.94856278366112
1, 2.8, 93.94856278366112
1, 2.9, 93.94856278366112
1, 3.0, 93.94856278366112
1, 3.1, 93.94856278366112
1, 3.2, 93.94856278366112
1, 3.3, 93.94856278366112
1, 3.4, 93.94856278366112
1, 3.5, 93.94856278366112
2, 0.1, 89.89409984871406
2, 0.2, 89.90418557740797
2, 0.3, 89.90418557740797
2, 0.4, 89.99495713565305
2, 0.5, 90.08572869389813
2, 0.6, 90.2168431669188
2, 0.7, 90.37821482602118
2, 0.8, 90.54967221381744
2, 0.9, 90.74130105900151
2, 1.0, 91.82047402924862
2, 1.1, 92.61724659606656
2, 1.2, 93.05093292990419
2, 1.3, 93.29299041855774
2, 1.4, 93.85779122541604
2, 1.5, 94.0998487140696
2, 1.6, 94.21079172970246
2, 1.7, 94.26122037317197
2, 1.8, 94.27130610186586
2, 1.9, 94.31164901664145
2, 2.0, 94.33182047402924
2, 2.1, 94.36207766011094
2, 2.2, 94.39233484619264
2, 2.3, 94.40242057488653
2, 2.4, 94.41250630358043
2, 2.5, 94.45284921835602
2, 2.6, 94.47302067574383
2, 2.7, 94.5738779626828
2, 2.8, 94.6142208774584
2, 2.9, 94.62430660615229
2, 3.0, 94.67473524962179
2, 3.1, 94.68482097831568
2, 3.2, 94.66464952092788
2, 3.3, 94.67473524962179
2, 3.4, 94.70499243570347
2, 3.5, 94.70499243570347
3, 0.1, 88.29046898638427
3, 0.2, 88.27029752899647
3, 0.3, 88.28038325769037
3, 0.4, 88.33081190115986
3, 0.5, 88.42158345940494
3, 0.6, 88.6434694906707
3, 0.7, 89.43015632879475
3, 0.8, 90.42864346949067
3, 0.9, 91.3061018658598
3, 1.0, 92.09278870398386
3, 1.1, 92.86938981341402
3, 1.2, 93.4846192637418
3, 1.3, 93.90821986888552
3, 1.4, 94.15027735753908
3, 1.5, 94.29147755925365
3, 1.6, 94.37216338880484
3, 1.7, 94.45284921835602
3, 1.8, 94.43267776096823
3, 1.9, 94.46293494704993
3, 2.0, 94.44276348966213
3, 2.1, 94.52344931921331
3, 2.2, 94.6041351487645
3, 2.3, 94.6142208774584
3, 2.4, 94.68482097831568
3, 2.5, 94.72516389309128
3, 2.6, 94.76550680786687
3, 2.7, 94.81593545133636
3, 2.8, 94.83610690872416
3, 2.9, 94.85627836611195
3, 3.0, 94.86636409480585
3, 3.1, 94.88653555219365
3, 3.2, 94.85627836611195
3, 3.3, 94.85627836611195
3, 3.4, 94.85627836611195
3, 3.5, 94.84619263741806
4, 0.1, 86.71709531013616
4, 0.2, 86.75743822491175
4, 0.3, 86.81795259707513
4, 0.4, 86.70700958144226
4, 0.5, 86.91880988401412
4, 0.6, 87.71558245083207
4, 0.7, 88.53252647503783
4, 0.8, 89.81341401916289
4, 0.9, 90.46898638426626
4, 1.0, 91.62884518406455
4, 1.1, 92.04236006051437
4, 1.2, 92.25416036308623
4, 1.3, 92.37518910741301
4, 1.4, 92.66767523953605
4, 1.5, 92.72818961169945
4, 1.6, 92.86938981341402
4, 1.7, 92.9803328290469
4, 1.8, 93.05093292990419
4, 1.9, 93.14170448814927
4, 2.0, 93.24256177508825
4, 2.1, 93.31316187594554
4, 2.2, 93.36359051941503
4, 2.3, 93.36359051941503
4, 2.4, 93.464447806354
4, 2.5, 93.47453353504791
4, 2.6, 93.4846192637418
4, 2.7, 93.5350479072113
4, 2.8, 93.5148764498235
4, 2.9, 93.5350479072113
4, 3.0, 93.54513363590519
4, 3.1, 93.57539082198689
4, 3.2, 93.56530509329299
4, 3.3, 93.56530509329299
4, 3.4, 93.54513363590519
4, 3.5, 93.63590519415028
5, 0.1, 86.58598083711549
5, 0.2, 86.62632375189108
5, 0.3, 86.60615229450327
5, 0.4, 86.72718103883005
5, 0.5, 86.95915279878972
5, 0.6, 87.68532526475038
5, 0.7, 88.26021180030257
5, 0.8, 88.54261220373172
5, 0.9, 89.56127080181543
5, 1.0, 90.12607160867373
5, 1.1, 90.62027231467474
5, 1.2, 90.98335854765507
5, 1.3, 91.15481593545134
5, 1.4, 91.41704488149269
5, 1.5, 91.69944528492184
5, 1.6, 91.83055975794251
5, 1.7, 92.08270297528996
5, 1.8, 92.25416036308623
5, 1.9, 92.4558749369642
5, 2.0, 92.58698940998487
5, 2.1, 92.74836106908724
5, 2.2, 92.80887544125063
5, 2.3, 92.85930408472012
5, 2.4, 93.0105900151286
5, 2.5, 92.9904185577408
5, 2.6, 93.0206757438225
5, 2.7, 93.04084720121028
5, 2.8, 93.16187594553706
5, 2.9, 93.19213313161876
5, 3.0, 93.21230458900655
5, 3.1, 93.24256177508825
5, 3.2, 93.27281896116995
5, 3.3, 93.29299041855774
5, 3.4, 93.29299041855774
5, 3.5, 93.30307614725164
6, 0.1, 83.8124054462935
6, 0.2, 83.83257690368129
6, 0.3, 83.88300554715079
6, 0.4, 83.98386283408976
6, 0.5, 84.17549167927383
6, 0.6, 84.48814926878467
6, 0.7, 84.8814926878467
6, 0.8, 85.31517902168432
6, 0.9, 85.9505799293999
6, 1.0, 86.62632375189108
6, 1.1, 87.0499243570348
6, 1.2, 87.78618255168936
6, 1.3, 88.01815431164901
6, 1.4, 88.49218356026223
6, 1.5, 88.90569843671206
6, 1.6, 88.94604135148765
6, 1.7, 89.1780131114473
6, 1.8, 89.208270297529
6, 1.9, 89.37972768532526
6, 2.0, 89.45032778618256
6, 2.1, 89.53101361573374
6, 2.2, 89.60161371659102
6, 2.3, 89.65204236006052
6, 2.4, 89.67221381744831
6, 2.5, 89.6822995461422
6, 2.6, 89.7528996469995
6, 2.7, 89.80332829046898
6, 2.8, 89.87392839132627
6, 2.9, 89.91427130610187
6, 3.0, 89.95461422087746
6, 3.1, 89.98487140695916
6, 3.2, 89.99495713565305
6, 3.3, 89.99495713565305
6, 3.4, 90.01512859304084
6, 3.5, 90.03530005042865
7, 0.1, 83.50983358547656
7, 0.2, 83.51991931417045
7, 0.3, 83.61069087241553
7, 0.4, 83.8124054462935
7, 0.5, 83.89309127584468
7, 0.6, 84.07463439233484
7, 0.7, 84.61926374180534
7, 0.8, 85.54715078164398
7, 0.9, 86.9793242561775
7, 1.0, 88.20978315683308
7, 1.1, 88.6535552193646
7, 1.2, 89.1981845688351
7, 1.3, 89.43015632879475
7, 1.4, 89.7226424609178
7, 1.5, 89.87392839132627
7, 1.6, 90.05547150781643
7, 1.7, 90.2874432677761
7, 1.8, 90.41855774079677
7, 1.9, 90.49924357034796
7, 2.0, 90.64044377206253
7, 2.1, 90.74130105900151
7, 2.2, 90.791729702471
7, 2.3, 90.91275844679778
7, 2.4, 90.95310136157337
7, 2.5, 90.97327281896116
7, 2.6, 91.03378719112456
7, 2.7, 91.11447302067575
7, 2.8, 91.22541603630863
7, 2.9, 91.23550176500252
7, 3.0, 91.28593040847201
7, 3.1, 91.3464447806354
7, 3.2, 91.3565305093293
7, 3.3, 91.3565305093293
7, 3.4, 91.44730206757438
7, 3.5, 91.49773071104387
8, 0.1, 83.32829046898638
8, 0.2, 83.35854765506808
8, 0.3, 83.43923348461927
8, 0.4, 83.68129097327282
8, 0.5, 83.7115481593545
8, 0.6, 84.08472012102874
8, 0.7, 85.32526475037821
8, 0.8, 86.09178013111448
8, 0.9, 87.60463943519919
8, 1.0, 88.93595562279374
8, 1.1, 89.87392839132627
8, 1.2, 90.19667170953102
8, 1.3, 90.60010085728693
8, 1.4, 91.12455874936964
8, 1.5, 91.3565305093293
8, 1.6, 91.55824508320727
8, 1.7, 91.95158850226929
8, 1.8, 92.10287443267777
8, 1.9, 92.28441754916793
8, 2.0, 92.32476046394352
8, 2.1, 92.48613212304589
8, 2.2, 92.63741805345437
8, 2.3, 92.65758951084216
8, 2.4, 92.72818961169945
8, 2.5, 92.74836106908724
8, 2.6, 92.85930408472012
8, 2.7, 92.89964699949572
8, 2.8, 92.9601613716591
8, 2.9, 92.970247100353
8, 3.0, 93.0105900151286
8, 3.1, 93.04084720121028
8, 3.2, 93.05093292990419
8, 3.3, 93.05093292990419
8, 3.4, 93.08119011598588
8, 3.5, 93.12153303076147
9, 0.1, 83.40897629853757
9, 0.2, 83.46949067070096
9, 0.3, 83.63086232980334
9, 0.4, 83.7821482602118
9, 0.5, 83.76197680282401
9, 0.6, 84.12506303580433
9, 0.7, 85.33535047907212
9, 0.8, 86.27332324760464
9, 0.9, 87.60463943519919
9, 1.0, 88.74432677760969
9, 1.1, 89.33938477054967
9, 1.2, 89.69238527483611
9, 1.3, 90.29752899646999
9, 1.4, 90.77155824508321
9, 1.5, 90.95310136157337
9, 1.6, 91.22541603630863
9, 1.7, 91.55824508320727
