Beam Size, Lenpen, WER
15,3.6,89.93444276348966
15,3.7,89.92435703479576
15,3.8,89.98487140695916
15,3.9,90.02521432173475
15,4.0,90.03530005042865
15,4.1,90.07564296520424
15,4.2,90.07564296520424
15,4.3,90.07564296520424
15,4.4,90.09581442259204
15,4.5,90.08572869389812
15,4.6,90.07564296520424
15,4.7,90.08572869389812
15,4.8,90.08572869389812
15,4.9,90.08572869389812
15,5.0,90.08572869389812
15,5.1,90.09581442259204
15,5.2,90.09581442259204
15,5.3,90.09581442259204
15,5.4,90.08572869389812
15,5.5,90.10590015128594
15,5.6,90.10590015128594
15,5.7,90.11598587997985
15,5.8,90.12607160867373
15,5.9,90.12607160867373
15,6.0,90.12607160867373
15,6.1,90.12607160867373
15,6.2,90.13615733736762
15,6.3,90.13615733736762
15,6.4,90.14624306606152
15,6.5,90.14624306606152
15,6.6,90.15632879475542
15,6.7,90.1765002521432
15,6.8,90.18658598083712
15,6.9,90.18658598083712
15,7.0,90.18658598083712
15,7.1,90.18658598083712
15,7.2,90.18658598083712
15,7.3,90.19667170953102
15,7.4,90.19667170953102
15,7.5,90.19667170953102
15,7.6,90.19667170953102
15,7.7,90.19667170953102
15,7.8,90.19667170953102
15,7.9,90.20675743822493
15,8.0,90.20675743822493
15,8.1,90.20675743822493
15,8.2,90.20675743822493
15,8.3,90.2168431669188
15,8.4,90.2168431669188
15,8.5,90.2168431669188
15,8.6,90.2168431669188
15,8.7,90.2269288956127
15,8.8,90.2471003530005
15,8.9,90.2471003530005
15,9.0,90.2471003530005
15,9.1,90.2471003530005
15,9.2,90.2471003530005
15,9.3,90.2471003530005
15,9.4,90.2571860816944
15,9.5,90.2571860816944
15,9.6,90.2571860816944
15,9.7,90.2571860816944
15,9.8,90.2571860816944
15,9.9,90.2571860816944
15,10.0,90.2571860816944
138,-10.0,87.89712556732223
138,-9.9,87.89712556732223
138,-9.8,87.89712556732223
138,-9.7,87.89712556732223
138,-9.6,87.89712556732223
138,-9.5,87.89712556732223
138,-9.4,87.89712556732223
138,-9.3,87.89712556732223
138,-9.2,87.89712556732223
138,-9.1,87.89712556732223
138,-9.0,87.89712556732223
138,-8.9,87.89712556732223
138,-8.8,87.89712556732223
138,-8.7,87.89712556732223
138,-8.6,87.87695410993445
138,-8.5,87.87695410993445
138,-8.4,87.87695410993445
138,-8.3,87.87695410993445
138,-8.2,87.87695410993445
138,-8.1,87.87695410993445
138,-8.0,87.87695410993445
138,-7.9,87.87695410993445
138,-7.8,87.87695410993445
138,-7.7,87.87695410993445
138,-7.6,87.87695410993445
138,-7.5,87.87695410993445
138,-7.4,87.87695410993445
138,-7.3,87.87695410993445
138,-7.2,87.86686838124055
138,-7.1,87.86686838124055
138,-7.0,87.84669692385275
138,-6.9,87.84669692385275
138,-6.8,87.84669692385275
138,-6.7,87.84669692385275
138,-6.6,87.84669692385275
138,-6.5,87.84669692385275
138,-6.4,87.84669692385275
138,-6.3,87.84669692385275
138,-6.2,87.84669692385275
138,-6.1,87.84669692385275
138,-6.0,87.84669692385275
138,-5.9,87.84669692385275
138,-5.8,87.84669692385275
138,-5.7,87.84669692385275
138,-5.6,87.84669692385275
138,-5.5,87.84669692385275
138,-5.4,87.84669692385275
